start	end	text
0	4000	Det är 16 000 äldre som har...
4000	7000	...bo på särskilda äldreboenden.
7000	11000	Och varannat besök på en vårdcentral görs hos en privat vårdcentral.
11000	15000	Jag tycker det är för mycket storstadsfokus i den här debatten från vänster kanten.
15000	20000	För tar vi oss ut på landsbygden så är det ju glesbygdsvårdcentralen som är hotad.
20000	22000	Det är byskolan på landsbygden.
22000	26000	Det är att en äldre inte ska få välja vilken hemtjänst som kommer hem till gården.
26000	29000	Det är viktigt att satsa på kvalitet.
29000	32000	Jag är stolt över svensk sjukvård, svensk omsorg och svensk skola.
32000	36000	Vi ska ha hög kvalitet, skärpta krav och se till att ha en skarp tillsyn.
36000	39000	De som inte sköter sig har inte det att göra.
39000	45000	Men vi ska slå vakt om valfriheten och se till att det finns en nära och trygg skolavård och omsorg i hela landet.
45000	48000	Då är det dags att släppa in fartygskaptenen från rädderiet.
48000	50000	Norsiddalen.
50000	53000	Eller Norsiddalen, ja. Varsågod, svara på det där.
53000	59000	Nej, men Annie Lööf måste komma tillbaka till verkligheten och kliva in på akuten i de regioner som hon styr.
59000	63000	Hon styr ju för de flesta svenskar deras sjukvård.
63000	65000	Och det är så här den ser ut.
65000	70000	Det är ju hjältar som arbetar både i skolan och i sjukvården.
70000	75000	Men hela svenska folket märker väl nu att vi har en vårdflykt.
75000	78000	Personalen orkar inte jobba kvar.
78000	84000	Vi har över 15 000 företag i vård och omsorg.
84000	87000	De här företagen fungerar inte i organisationen.
87000	88000	Det blir rörigt.
88000	95000	En människa blir inte omhändertagen ordentligt i den svenska sjukvårdsorganisationen utan man blir bara hänvisad runt.
95000	97000	Man är aldrig rätt.
97000	99000	Och det är ju Annie Lööf som styr detta.
99000	103000	Det är därför vi har så långa vårdköer.
103000	105000	Det är därför detta inte fungerar.
105000	112000	Hur blir det kortare vårdköer om man slundar benen på alla de privata vårdcentraler som finns runt om i hela landet?
112000	119000	Hur minskar man bördan på sjuksköterska och undersköterskas axlar genom att de får mer att göra?
119000	122000	Vi behöver ju börja prata om innehållet i skolan, vården och omsorgen.
122000	124000	Inte vem som äger dem.
124000	129000	Vi måste säkerställa bra arbetsvillkor, fler kollegor och bra arbetsmiljö.
129000	132000	Så att fler vill stanna kvar och jobba inom vård och omsorg.
132000	137000	Vi ska kunna låta debatten utspela sig hela kvällen men vi måste vandra högre ut.
137000	139000	Ebba Börs, du har velat in länge. Varsågod.
139000	142000	Det här är Magdalena Andersson. Det är ditt regeringsunderlag.
142000	144000	Nour Shiddad går starkt på en planet i en verklighet.
144000	147000	Annie Lööf på en annan planet i en helt annan verklighet.
147000	149000	Det här är riskfyllt.
149000	156000	Att rösta på en statsministerkandidat som har ett regeringsunderlag som befinner sig på helt olika delar av yttre rymden.
156000	158000	Vårt alternativ är i grunden enat.
158000	163000	Även här i grundinräkningen, det vill säga, det är inte privata alternativ för det privata skull.
163000	167000	Det spelar ingen roll vad driften är så länge innehållet fungerar.
167000	171000	Titta på resultatet efter åtta år med SV-rodret.
171000	173000	Kvinnorna får betala priset.
173000	179000	De bränns ut i äldreomsorgen, de bränns ut i sjukvården, de bränns ut när förlossningsvården inte fungerar.
179000	184000	De lyckas inte tillräckligt bra i skolan heller.
184000	189000	Kvinnorna som drabbas extra hårt när otryggheten i skolan är så stor som den är.
189000	191000	Då funkar det inte.
191000	198000	En klok person har en gång sagt att definitionen av galenskap är att göra samma sak om och om igen och förvänta sig ett annat resultat.
198000	201000	Men det är just definitionen av socialdemokrati.
201000	206000	Vi behöver något nytt och ett nationellt ledarskap för välfärden framåt.
206000	211000	Då släpper vi in yttre rymden. Magdalena Andersson, vill du replikera på det Babur säger?
211000	217000	Jag kan konstatera att det har varit väldigt käbbligt där på den sidan hur man ska finansiera alla reformer.
217000	220000	Där måste jag också höja varningens finger.
220000	228000	Vi har sett när vi har haft borgarregeringar hur man tre gånger av tre möjliga har lagt efter sig statsfinansier med väldigt stora hål.
228000	232000	Det man har lyssnat på den här veckan är att det finns en sån risk igen.
232000	242000	Det är inte bra nu.
